cost_center,program_name,administering_department,department_acronym,policy_pillar,historical_amount_allocated_usd,historical_amount_obligated_usd,historical_amount_expended_usd,record_granularity,geographic_scope,financial_context,is_recipient_level_award,is_active_incentive_dollars,program_details_source_url,grants_summary_source_url,program_details_as_of,grants_summary_as_of
0542005,Management and Administration,Department of Planning and Development,DPD,Effective Governance,0.00,0.00,0.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0542401,Management and Administration,Department of Planning and Development,DPD,Effective Governance,0.00,0.00,0.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0544769,Community Development Program,Department of Planning and Development,DPD,Youth & Economy,6246669.00,6246669.00,6107803.91,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0544770,Community Wealth Building: Housing,Department of Planning and Development,DPD,Housing & Homelessness Supports,2500000.00,2500000.00,2145242.31,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0544773,Transit-Oriented Development (TOD) Program,Department of Planning and Development,DPD,Housing & Homelessness Supports,2200000.00,2200000.00,2171220.69,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0544786,Street Ambassadors Program,Department of Planning and Development,DPD,Community Safety,11793368.49,11793368.49,11793368.49,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0544790,Vacant Lot Reduction Strategy,Department of Planning and Development,DPD,Housing & Homelessness Supports,4608835.50,4608835.50,4264085.50,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0544882,Management and Administration,Department of Planning and Development,DPD,Effective Governance,6387140.72,6387140.72,6278071.70,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0544976,Community Wealth Building: Start-ups,Department of Planning and Development,DPD,Youth & Economy,6390000.00,6390000.00,5428336.28,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0544977,Community Wealth Building: Commercial Rehab,Department of Planning and Development,DPD,Youth & Economy,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0594890,Essential City Services,Office of Budget & Management,OBM,Effective Governance,129932265.00,129932265.00,129932265.00,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0704769,Small Business Support Program,Department of Business Affairs and Consumer Protection,BACP,Youth & Economy,4438617.13,4438617.13,3909619.47,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0704776,Good Food Fund/Incubator,Department of Business Affairs and Consumer Protection,BACP,Mental Health & Wellness,9156281.34,9156281.34,9156281.34,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0704787,Nonprofit Relief and Capacity Building,Department of Business Affairs and Consumer Protection,BACP,Effective Governance,1078278.88,1078278.88,1078278.88,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0704890,Central City Recovery Program,Department of Business Affairs and Consumer Protection,BACP,Youth & Economy,715968.87,715968.87,715968.87,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
0704891,Management and Administration,Department of Business Affairs and Consumer Protection,BACP,Effective Governance,3184285.92,3184285.92,2302627.16,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
P00520106515,Essential City Services,Department of Family and Support Services,DFSS,Effective Governance,,,,program_level,citywide_context,historical_cumulative_program_financials,false,false,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Program-Details/m9g9-cj96,https://data.cityofchicago.org/Administration-Finance/ARPA-Road-to-Recovery-Grants-Summary-Report/9yp3-9pdz,2026-04-30T15:04:58.000Z,2026-04-30T15:02:48.000Z
